"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"51105",1.40868243243243,7.01381418918919,11.1344856238937,2.54720930679946e-24,6.38919310306052e-23,44.482512215883
"23548",1.20324999999999,7.7564222972973,11.1090526486847,3.11632491521371e-24,7.7337761025834e-23,44.2832484108438
"35563",1.21957432432433,6.67123310810811,11.0879091233335,3.6845898378117e-24,9.02435144569798e-23,44.1177345612943
"61316",1.60906081081081,7.13853716216216,11.0542361415364,4.80982562677488e-24,1.1628095236203e-22,43.8544079326111
"49348",2.52519594594594,7.527625,11.0435205771718,5.23517103101225e-24,1.26237783933378e-22,43.7706806977369
"25162",1.20121621621622,10.8937972972973,11.0132898147643,6.64779179836405e-24,1.59070946459064e-22,43.5346518352178
"20909",1.26650675675676,6.63383445945946,10.9556911081853,1.04718768392187e-23,2.44937199269325e-22,43.0856973878714
"16119",1.16143918918919,5.73264527027027,10.9490919506245,1.10308184650403e-23,2.57367425333957e-22,43.0343235070906
"35175",1.19504054054055,10.7049459459459,10.9389284105147,1.19502719689432e-23,2.77436090673531e-22,42.9552268553996
"53563",2.02899999999999,6.95194594594595,10.9385299754668,1.19878303222791e-23,2.77619159641691e-22,42.9521267120064
"11139",1.13675,6.902625,10.9367899359563,1.2153236187917e-23,2.80754759936177e-22,42.9385883740723
"18197",2.33789864864865,7.23127364864865,10.9338739843395,1.24355304051403e-23,2.8609012677626e-22,42.9159029276972
"60734",1.83685135135135,6.26322297297297,10.9332539427582,1.24963930424501e-23,2.865594443754e-22,42.9110794749664
"54164",1.22562837837838,6.05127364864865,10.9259391528343,1.32371774778424e-23,3.02804480397785e-22,42.8541847338233
"3752",1.18747297297297,6.44078378378378,10.9044422058737,1.56768074031167e-23,3.51731918617649e-22,42.6870743870368
"8021",2.03079054054053,11.0451587837838,10.9013344512913,1.60647101728244e-23,3.59572795160155e-22,42.6629273122555
"51093",1.23304054054054,7.65145945945946,10.8978833418278,1.65066713627442e-23,3.68583334772875e-22,42.6361158336654
"33559",2.34663513513514,7.15647972972973,10.8871775740073,1.79561472476205e-23,3.9904445047206e-22,42.5529664054261
"27489",1.91561486486486,10.8562736486486,10.8517812075388,2.37117428932523e-23,5.20767761758847e-22,42.2782998849948
"20602",2.17527027027027,6.67627702702703,10.8496433471507,2.41130007917851e-23,5.26467251102695e-22,42.2617229654056
"35897",1.12828378378378,5.68088513513514,10.8466910520106,2.4678251924388e-23,5.36952848847847e-22,42.2388332514089
"11801",1.44892567567568,6.49793581081081,10.822566110278,2.98196890184164e-23,6.41363242428286e-22,42.051888718023
"56689",3.07956756756757,9.47777027027027,10.8198361703824,3.04648195312412e-23,6.53735898014434e-22,42.0307457108437
"49928",1.05180405405405,8.62171283783784,10.8191191071768,3.06365643255006e-23,6.55916924094699e-22,42.0251925384755
"26316",1.63087837837838,5.27004054054054,10.7981726346442,3.61017567832658e-23,7.65913914884885e-22,41.8630466461321
"18684",3.16241891891893,7.96199324324324,10.7803758251788,4.15003078778664e-23,8.78454480781263e-22,41.7253895543116
"53771",1.11516216216217,5.81591216216216,10.7633708419172,4.74069418759449e-23,1.00121749027391e-21,41.593949728212
"39298",1.03770945945945,5.37788175675676,10.6972870442124,7.94428818845004e-23,1.6371533103775e-21,41.0840209253522
"52837",1.65041891891892,5.98230405405405,10.5426238182785,2.64525167995412e-22,5.04052438241359e-21,39.896053792662
"17494",1.22333108108109,5.76392905405405,10.4745645189272,4.48015654954338e-22,8.31673505506506e-21,39.3757741446029
"28578",1.21598648648649,10.1559121621622,10.4692824049229,4.66686190873492e-22,8.62908300753438e-21,39.3354595245906
"50330",1.71283783783784,10.2628243243243,10.4554692559605,5.1924944913435e-22,9.52568205117838e-21,39.2300777924726
"29798",1.42074324324325,7.45523648648649,10.4486872914931,5.4717146460484e-22,1.00182704948002e-20,39.1783610426386
"32187",1.59035135135135,5.10164189189189,10.4431255531194,5.71180200037208e-22,1.04188480565433e-20,39.1359608355865
"41317",1.75802027027028,10.0009898648649,10.4256140306968,6.53828672793575e-22,1.18780991507897e-20,39.0025289419575
"52579",1.22379054054054,8.79367905405405,10.4211530208098,6.76718751355129e-22,1.22274037326883e-20,38.9685541109058
"5872",1.21613513513514,5.86335135135135,10.4049573497504,7.66723951587124e-22,1.37160024685452e-20,38.845265353252
"49845",1.61892567567568,8.17149662162162,10.4002444163944,7.95084043729819e-22,1.41961952540767e-20,38.8094051009237
"57877",1.54560135135135,5.04522635135135,10.3835225649705,9.04387189869331e-22,1.59649934875801e-20,38.6822311501942
"42189",1.6478445945946,8.13683445945946,10.3627259187972,1.0613796752686e-21,1.84921196309368e-20,38.5242005207789
"25169",1.35719594594594,8.55126013513513,10.3365053683916,1.29845605316309e-21,2.23726608349795e-20,38.3251658244671
"21272",1.4127972972973,8.77883108108108,10.3225122752116,1.44581285278183e-21,2.47747711549942e-20,38.2190440911455
"21205",1.16761486486487,7.20861824324324,10.3114911330523,1.5734803548763e-21,2.68150859749047e-20,38.1355088803896
"42135",1.1638108108108,11.0061554054054,10.2941593394292,1.79728378049421e-21,3.04075715195367e-20,38.0042270054162
"50081",1.67354054054054,15.1993040540541,10.2808923336624,1.98974140621466e-21,3.32428939224006e-20,37.9038049611003
"23218",1.09881081081081,7.53425,10.2653636736627,2.24116997420037e-21,3.71779898557069e-20,37.7863417554231
"21034",1.21913513513513,7.53708783783784,10.2548721389513,2.4286751235887e-21,3.9864358695256e-20,37.7070285473862
"24795",1.2617972972973,9.00198648648649,10.2383940140429,2.75512981732389e-21,4.50646758232208e-20,37.582536273792
"58456",1.57172297297298,5.73886824324324,10.2118676469712,3.37465184863568e-21,5.49099872971051e-20,37.3823303775506
"31366",1.55975,12.3567668918919,10.2016580821105,3.64841225018531e-21,5.91586568678229e-20,37.305340691022
"52087",2.8555472972973,10.8063885135135,10.1542533671238,5.23822000687771e-21,8.37757032211074e-20,36.9483502722049
"60101",1.94722972972973,9.162,10.1523660599096,5.31410846901094e-21,8.48443666144478e-20,36.9341541458347
"42091",3.32175675675676,10.0267162162162,10.1418005671857,5.75957471558583e-21,9.16438453044575e-20,36.8547052059598
"56969",1.67231756756756,6.5874222972973,10.1411738118157,5.78713670087678e-21,9.19260627731803e-20,36.84999347569
"37349",1.4634527027027,11.4513885135135,10.1284836649678,6.37426559858733e-21,1.0090969363855e-19,36.7546237085141
"50096",1.33448648648648,10.3766081081081,10.0940254045374,8.28435967384621e-21,1.28325279980969e-19,36.4959538278524
"20760",1.97220945945946,7.17265878378378,10.0854111089839,8.84477134045731e-21,1.36553928484024e-19,36.4313555414067
"19792",1.16234459459459,7.08888175675676,10.0561095277988,1.10483468789485e-20,1.68352334526779e-19,36.2118261567585
"54974",1.10683783783784,8.6802972972973,10.0135862357965,1.52497690097352e-20,2.29015792704788e-19,35.8937974944522
"51595",1.10382432432432,6.68139189189189,10.0128928029569,1.53300425256873e-20,2.2985236838194e-19,35.8886168684541
"18619",1.42099324324324,12.0904560810811,10.0117553370711,1.54626286642878e-20,2.31469366052922e-19,35.8801192624231
"26870",2.10825000000001,7.14619932432432,9.98248137236405,1.92959180398939e-20,2.87497309943838e-19,35.6615882965876
"15821",1.00797972972973,5.60709797297297,9.98246986852507,1.9297596263866e-20,2.87497309943838e-19,35.6615024824826
"29998",1.93266216216216,8.94014189189189,9.97239475758228,2.08244970285802e-20,3.06825187715585e-19,35.586364990928
"56146",1.6600472972973,9.09467905405405,9.9646178955499,2.20846681624889e-20,3.23862312426718e-19,35.5283930311251
"42881",1.14716216216216,8.46138513513514,9.96120894151973,2.26606747582913e-20,3.31789159684779e-19,35.5029883694152
"50018",1.10012162162162,5.87316891891892,9.94583346344859,2.54497843917453e-20,3.67450899335137e-19,35.3884590370214
"28320",1.08085135135134,6.83839189189189,9.92097904669594,3.0696867668371e-20,4.41845990623506e-19,35.2035096912173
"37039",2.09664864864865,8.79945945945946,9.88926966021249,3.89774652480074e-20,5.55904214726155e-19,34.9678874711963
"49296",1.00283783783783,5.89114189189189,9.88198753239718,4.11727769888837e-20,5.83655305315146e-19,34.913829917151
"39581",1.51003378378379,8.74394932432432,9.85406471482402,5.07898607516518e-20,7.10298859779453e-19,34.7067363069918
"55323",1.24456081081082,7.95426013513513,9.84990202281722,5.24031292057006e-20,7.31766681863485e-19,34.6758884872508
"55028",1.74581081081082,10.2564797297297,9.81174165170754,6.97780180389318e-20,9.64317779574957e-19,34.3934077327158
"20547",1.12239189189189,5.76641216216216,9.78276875196025,8.66921546698235e-20,1.18407561911076e-18,34.1793101006732
"55861",1.35238513513514,6.67297635135135,9.77003487711549,9.53596949221795e-20,1.29302218216219e-18,34.0853145236865
"35582",1.1433108108108,9.28110135135135,9.76118630358872,1.01884223767556e-19,1.37155222671835e-18,34.0200354046731
"43453",2.42258783783784,9.05410472972973,9.74030081322181,1.19095730061107e-19,1.59179950064531e-18,33.8660761309855
"38275",1.52366216216217,12.5533175675676,9.73538395215065,1.23550531296214e-19,1.64898540771381e-18,33.8298557245718
"10113",1.05613513513513,5.22740540540541,9.72046459581171,1.38106060677661e-19,1.83279475702156e-18,33.7200089467275
"38910",1.42981081081082,5.18953378378378,9.71075374600344,1.48482446926073e-19,1.95662221611315e-18,33.6485575913887
"35952",1.26080405405406,8.05794932432432,9.7002179086817,1.6061739796075e-19,2.11058479679885e-18,33.5710778511573
"50634",1.34969594594594,12.1268209459459,9.68354244908522,1.81866877397014e-19,2.37978532157547e-18,33.4485368911229
"5846",1.56833108108108,8.31051689189189,9.63989518452781,2.51636076095251e-19,3.22950223312368e-18,33.1283107919765
"55188",1.31784459459459,7.89863175675676,9.62158881423895,2.88285562252915e-19,3.68469907163698e-18,32.9942276325096
"52417",1.44481081081081,6.4697027027027,9.61073487134524,3.12469105391076e-19,3.96132920059472e-18,32.9147920718066
"24085",1.55652702702703,6.40318918918919,9.60422167684235,3.27937174028247e-19,4.14059406235935e-18,32.8671472544961
"41410",1.11239864864865,5.68414527027027,9.59565747309185,3.49438662595469e-19,4.40612955154071e-18,32.8045248770975
"15314",2.06494594594595,7.2462972972973,9.56309496190507,4.44755554486059e-19,5.54078957093418e-18,32.5666929518541
"52545",2.44275,9.50980743243243,9.55101897132499,4.86320357986923e-19,6.0425143018933e-18,32.4786001532178
"49753",1.49735810810811,6.09783445945946,9.44430020526363,1.06836718298012e-18,1.28809837164459e-17,31.7026773100369
"20285",1.08110810810811,7.26416216216216,9.4438831668453,1.07164842608688e-18,1.29039159259573e-17,31.6996542889582
"35072",1.22279054054054,5.52853716216216,9.41230897085414,1.35143161294512e-18,1.60253411542643e-17,31.470988488116
"24584",2.57357432432433,8.754125,9.40877265663674,1.38696728155829e-18,1.64259061851384e-17,31.4454035987014
"55551",2.24337837837838,8.88141216216216,9.39995444155457,1.47967043687754e-18,1.74795411709927e-17,31.381627292873
"21760",2.53935135135136,6.22443243243243,9.3985799766177,1.49466346152291e-18,1.76121805365344e-17,31.3716896104573
"52229",1.16613513513513,8.39052702702703,9.38570453581441,1.64264027759964e-18,1.92106780465278e-17,31.2786355415053
"39424",1.07699324324324,5.17672635135135,9.32148676254227,2.62778145559575e-18,3.01293177678356e-17,30.8155529467627
"42578",1.03608783783784,7.368125,9.31894895582245,2.67693459740615e-18,3.06553244716426e-17,30.7972881086087
"7037",1.44329054054054,6.01121283783784,9.26691555572033,3.91203704486901e-18,4.39916088843684e-17,30.4234000563156
"39841",1.90497972972973,8.17996283783784,9.25962428875264,4.12526472641398e-18,4.62227266830289e-17,30.3711003214385
"24526",1.28203378378378,5.1911722972973,9.24822740857626,4.48187600884377e-18,5.00387015975445e-17,30.2893967928031
"35069",1.98456081081081,5.83949662162162,9.2468407248481,4.52730131563182e-18,5.04856151478562e-17,30.2794595325531
"49911",3.20874324324324,14.4458918918919,9.20595910185653,6.09253583136817e-18,6.73779730948944e-17,29.9868640609168
"23113",1.24556756756756,9.04358108108108,9.1987931369256,6.41757851337802e-18,7.08052648244868e-17,29.9356503254813
"40582",1.27745270270271,8.91274662162162,9.16616947369107,8.12863689287291e-18,8.92623553635199e-17,29.7027761047115
"9590",1.24485135135135,8.72606081081081,9.11870399520556,1.1455412820451e-17,1.23760787930877e-16,29.3647843440665
"18476",1.31329054054054,5.02273986486486,9.11761251765047,1.15460103338021e-17,1.24595700903175e-16,29.3570237374311
"23492",1.15347972972973,7.47757094594595,9.10427435019326,1.27122375131298e-17,1.36394144693626e-16,29.2622291084374
"34786",2.34720945945946,9.088625,9.10104936619686,1.30113172876109e-17,1.39443166715794e-16,29.2393208059067
"20348",1.18322972972973,7.94432432432432,9.06153085676989,1.72949006322729e-17,1.82425130006251e-16,28.9589776530504
"10594",2.41827027027028,7.93701351351351,9.03945416534012,2.02691962839445e-17,2.12953686128278e-16,28.8026669163999
"54704",1.09766891891892,11.8581114864865,9.02669089497435,2.22146041718645e-17,2.32483038738215e-16,28.712397237311
"15814",1.07237162162162,9.14877364864865,9.00621873373585,2.57286026211092e-17,2.68058804145988e-16,28.5677571728249
"17860",2.12291216216216,8.57465202702703,8.97026535914149,3.32835717723231e-17,3.42952750552704e-16,28.3141930765286
"33967",1.65441891891892,8.41373648648649,8.84951731236024,7.86923977641954e-17,7.87428955595521e-16,27.4668865756568
"28907",1.49377702702703,7.9305777027027,8.83243166116213,8.88346481511595e-17,8.86073526761459e-16,27.3475321514156
"36316",1.3885,8.64375,8.80690848275236,1.06445104261608e-16,1.05386285235091e-15,27.1694869597669
"38745",2.13206081081081,6.33457094594595,8.80263959747894,1.09710947940417e-16,1.0850482335418e-15,27.1397373869685
"19736",1.17847972972972,11.3515439189189,8.79399969491728,1.16627650067562e-16,1.15221897323272e-15,27.0795523466256
"5192",1.18222297297298,7.3611722972973,8.7154140307859,2.03061072590901e-16,1.95055379379925e-15,26.5337269684643
"58134",1.42914864864865,7.00049324324324,8.67688274787697,2.66228969146423e-16,2.53391478670797e-15,26.2671631618539
"16557",1.42104054054053,7.71774324324324,8.6593907361225,3.00993119647896e-16,2.84741317232125e-15,26.1463832914855
"30159",1.57448648648649,7.17960135135135,8.61939981771399,3.98275550608241e-16,3.71142037001066e-15,25.8707985507186
