"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"57277",-1.06993243243244,12.7451081081081,-13.5289274221283,7.34545915703571e-33,8.08519010273249e-31,63.930776427416
"51758",-1.56829054054054,8.2736722972973,-13.4703101263333,1.20413497505582e-32,1.29492952030141e-30,63.4416535261677
"55300",-1.80006081081081,7.38984797297297,-13.4268969930538,1.73585448626647e-32,1.83550440594968e-30,63.0797255091856
"48699",-2.40610135135134,9.90109797297297,-13.4262019777431,1.74604416555709e-32,1.83550440594968e-30,63.0739335674203
"18913",-1.1113445945946,7.59420608108108,-13.4187268768703,1.85948317169226e-32,1.93303606159475e-30,63.0116440521218
"59278",-2.61552027027028,9.60936824324324,-13.4058755107515,2.07196419028331e-32,2.13025241365831e-30,62.9045741097763
"32850",-1.20629054054054,13.8927331081081,-13.3868391072599,2.43202252479841e-32,2.44666696150687e-30,62.7460199417848
"15153",-2.56041216216217,10.0279425675676,-13.3362082142373,3.72329213280448e-32,3.66685486258091e-30,62.3245841896932
"22459",-2.67188513513514,8.69216554054054,-13.2906361107781,5.46085411183096e-32,5.26719083198871e-30,61.9455948493691
"29742",-1.84436486486487,5.9139054054054,-13.2755154751771,6.20038165615915e-32,5.9194664056148e-30,61.8199195401009
"31434",-2.53120945945945,7.44946959459459,-13.265215223314,6.7605703068057e-32,6.38908038287617e-30,61.7343295447323
"50864",-1.50350675675675,8.52076013513513,-13.2554404690413,7.33880034725035e-32,6.86618160488743e-30,61.6531217096243
"37786",-1.15699324324324,7.72301013513514,-13.2501417371504,7.67261025347355e-32,7.03773936583319e-30,61.6091066328381
"42074",-1.68251351351351,7.07789189189189,-13.2303409935789,9.05973395475428e-32,8.15027604621933e-30,61.4446670343741
"11308",-2.02380405405406,12.7814695945946,-13.2269156478639,9.32390518847012e-32,8.30804351841204e-30,61.4162268646575
"36966",-3.3546081081081,10.8995675675676,-13.2237632003647,9.57381564960293e-32,8.45024709600802e-30,61.3900541939625
"33815",-1.13629054054054,11.9016858108108,-13.2038471024077,1.13146592238211e-31,9.89345342972622e-30,61.2247410613127
"34976",-1.17207432432432,8.088125,-13.2013833890296,1.15508814998749e-31,9.91468323970917e-30,61.2042955104364
"56540",-2.45307432432432,13.7350101351351,-13.1599294522291,1.63508479603959e-31,1.37818498664382e-29,60.8604307637201
"50333",-1.3145,8.41510810810811,-13.1558833234008,1.69147242727869e-31,1.41298357407317e-29,60.8268827376165
"53199",-1.77520945945947,15.5964087837838,-13.1232746063413,2.22275687567275e-31,1.80835768076471e-29,60.5566096630068
"8190",-2.00166216216217,8.37311486486487,-13.0943826055737,2.83096535339297e-31,2.28331998675385e-29,60.3172895424776
"24497",-1.28949324324324,13.1476993243243,-13.0730848599864,3.38320432434164e-31,2.70540680842226e-29,60.1409641569436
"55879",-1.22239189189189,6.23575675675676,-13.0100122517878,5.73235615347761e-31,4.4528443761706e-29,59.6192331120132
"5682",-1.51312837837838,6.78290202702703,-12.9946234280793,6.51872469182252e-31,4.9991137882534e-29,59.4920415754949
"58449",-1.10043243243242,12.5491013513514,-12.9746301550149,7.70318566760243e-31,5.85943130943808e-29,59.3268546479846
"9586",-2.01841891891892,9.2818445945946,-12.9553035913461,9.05173316103739e-31,6.82967866569886e-29,59.1672423418788
"18751",-1.50874324324325,8.51316891891892,-12.9459831181364,9.78384704633657e-31,7.323013837242e-29,59.0902907176983
"37922",-1.57941891891891,5.70464864864865,-12.9063944227546,1.36115594276075e-30,9.94919921911689e-29,58.7636095524915
"27178",-1.38950675675675,8.88532094594595,-12.899286673299,1.44424518548211e-30,1.04746960894346e-28,58.7049866973025
"55859",-1.34172297297298,9.72751689189189,-12.8975010334064,1.46590250816822e-30,1.05499875895553e-28,58.6902606231313
"38912",-2.82886486486487,12.0431824324324,-12.8837599143277,1.64376922247027e-30,1.17397746911694e-28,58.5769574350501
"43124",-1.02662837837837,11.238597972973,-12.8121576921311,2.98378191290814e-30,2.03289414014664e-28,57.9871082788664
"15890",-2.67804054054054,8.73087837837838,-12.8115663963935,2.99849712847624e-30,2.03289414014664e-28,57.9822411509481
"25485",-1.47188513513513,7.28284121621622,-12.8059256417934,3.1425651466488e-30,2.1152402526652e-28,57.9358136767702
"36220",-2.84732432432432,8.83531756756757,-12.775962828871,4.03181828837974e-30,2.65645717648456e-28,57.6892963560439
"16390",-1.58535135135135,6.8617972972973,-12.7690154168708,4.27152274616869e-30,2.79471096595484e-28,57.632160635509
"50574",-2.3802972972973,12.2117432432432,-12.7671988475666,4.33650973793989e-30,2.81752674362261e-28,57.6172225941621
"35236",-2.05498648648648,8.81664189189189,-12.7118917977725,6.86539410001368e-30,4.34004237836e-28,57.1627160227664
"39029",-1.36015540540541,10.2826790540541,-12.7097366502917,6.98932699232886e-30,4.38873445236435e-28,57.1450169268229
"52464",-1.48033108108108,6.60236824324324,-12.6804245736956,8.91406323121818e-30,5.48684049942614e-28,56.9043796947212
"52519",-1.06103378378378,5.52613851351351,-12.6698071816099,9.734716616387e-30,5.88952364470776e-28,56.8172566879462
"58217",-1.79280405405405,8.73128716216216,-12.6695300113677,9.75712018950088e-30,5.88952364470776e-28,56.8149826041913
"31092",-1.32249324324325,12.7150844594595,-12.6584843253522,1.06930607328711e-29,6.41309462927832e-28,56.7243686460929
"11475",-2.02889864864865,12.6420506756757,-12.6444633828839,1.20111092631875e-29,7.05545171560977e-28,56.6093807608157
"48377",-2.94143243243243,9.44147297297297,-12.6239603202058,1.42355130668461e-29,8.27251305921812e-28,56.4413003457339
"16670",-2.78333108108108,10.3242804054054,-12.6159261760305,1.52152209460337e-29,8.78725970191924e-28,56.375460103663
"35293",-2.59130405405406,9.04702364864865,-12.6080609030445,1.62394237925664e-29,9.32123000019947e-28,56.3110159363008
"52342",-1.61422972972973,9.38828378378378,-12.5900692228718,1.88481790167062e-29,1.06231061976086e-27,56.1636463955731
"32411",-1.67656081081081,6.76513175675676,-12.5817626740442,2.01897473378781e-29,1.13110943768376e-27,56.0956289945054
"42202",-1.3332972972973,8.68994594594595,-12.5766744167094,2.10581372928326e-29,1.17273769352227e-27,56.0539709699888
"34354",-1.07354054054055,6.99238513513513,-12.5636168425392,2.34608453625517e-29,1.29881461072209e-27,55.94709076641
"29703",-2.02479054054054,12.6542128378378,-12.5355787735302,2.95836884837153e-29,1.62814699678612e-27,55.7177046961513
"43600",-1.70678378378378,6.04048648648649,-12.5225801124963,3.29396391829435e-29,1.79176316392802e-27,55.6114126463912
"54166",-1.6455945945946,13.5739189189189,-12.5022054359152,3.89795469804959e-29,2.09593472154896e-27,55.444873840224
"25290",-2.0701554054054,6.83149662162162,-12.4937232359305,4.18086388156626e-29,2.23520928433908e-27,55.3755665184342
"25453",-1.76366891891892,10.9470506756757,-12.4893856468853,4.33335619933949e-29,2.3035727614216e-27,55.3401300603252
"9916",-3.04546621621622,11.1283074324324,-12.4149152520302,8.01094543025331e-29,4.14090637820165e-27,54.7323319263458
"6475",-1.16789864864865,6.16130067567568,-12.3859395288647,1.01714779299602e-28,5.17197540829933e-27,54.4961514223925
"19284",-1.75574999999999,6.62136148648649,-12.3685217000271,1.1740433427219e-28,5.87398369759683e-27,54.354263064669
"61409",-1.32688513513512,8.80180067567568,-12.3274718278116,1.64589956759289e-28,8.14763828275081e-27,54.0201159524886
"50275",-1.20748648648648,7.15922297297297,-12.3241842977434,1.69101292780631e-28,8.32690365923989e-27,53.9933707332854
"25985",-1.28068243243244,11.4648141891892,-12.2685354314234,2.67167768902334e-28,1.2951407491452e-26,53.5409966103244
"49438",-2.23947972972973,10.1097804054054,-12.2656776116159,2.73512574183564e-28,1.31906373405228e-26,53.5177830623251
"55495",-1.46542567567568,10.2565844594595,-12.2519909000625,3.06044379024654e-28,1.46089347456871e-26,53.4066328119061
