"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000075","cell cycle checkpoint signaling","16/435","187/18860",0.0855614973262032,3.70963181510849,5.72168899795166,7.32672634551786e-06,0.000769612238307986,0.000635234293976129,"DUSP1/SPC25/CDC14B/CCNB1/TIMELESS/MAD2L1/BUB1B/AURKB/CHEK1/BLM/SKA3/NUF2/CENPF/EME1/IER3/RAD51",16
"GO:0015800","acidic amino acid transport","10/435","74/18860",0.135135135135135,5.85896241068655,6.43490960770052,7.38798917598395e-06,0.000769612238307986,0.000635234293976129,"SLC7A11/AVPR1A/SLC1A7/KCNJ8/ATP1A2/KCNK1/SLC25A18/NTRK2/NPY5R/TTYH1",10
"GO:0007162","negative regulation of cell adhesion","22/435","326/18860",0.0674846625766871,2.9258867498766,5.38958314770357,7.62676602726559e-06,0.000775569469105984,0.000640151364042919,"DUSP1/CD9/IL1RN/PDCD1/ERBB3/COL1A1/FOXJ1/RUNX1/APOD/MDK/HOXA7/FAM107A/KANK1/ASCL2/SERPINE2/DLC1/TACSTD2/CTSG/TIGIT/ITGB1BP1/POSTN/BMP6",22
"GO:0030071","regulation of mitotic metaphase/anaphase transition","11/435","92/18860",0.119565217391304,5.18390804597701,6.18112117755832,8.6907589607223e-06,0.000857943182647367,0.000708142236795532,"DUSP1/SPC25/ESPL1/CCNB1/DLGAP5/MAD2L1/BUB1B/AURKB/SKA3/NUF2/CENPF",11
"GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","23/435","354/18860",0.0649717514124294,2.81693616468602,5.30255561034349,8.83856240610727e-06,0.000857943182647367,0.000708142236795532,"PRR5/MMP3/NTRK3/ERBB3/FERMT2/MST1R/PHLDA3/CEP55/IL33/CCL19/RAPGEF3/EPHA8/NTRK2/SERPINE2/RET/ADRA2A/XBP1/EGFR/ITGB1BP1/TREM2/TYRO3/VAV3/TMEM100",23
"GO:1990845","adaptive thermogenesis","15/435","171/18860",0.087719298245614,3.80318612623513,5.65792477114663,1.04485794397838e-05,0.000991686284162591,0.000818533158920139,"LAMA4/ACADL/NPR3/PRLR/S100B/ELOVL3/LEPR/EPAS1/NOVA1/CLSTN3/SCT/THRA/ADRB1/CKB/ALDH1A1",15
"GO:1902099","regulation of metaphase/anaphase transition of cell cycle","11/435","95/18860",0.115789473684211,5.02020568663037,6.03581614341726,1.18669660443404e-05,0.00110182199946474,0.000909438656350024,"DUSP1/SPC25/ESPL1/CCNB1/DLGAP5/MAD2L1/BUB1B/AURKB/SKA3/NUF2/CENPF",11
"GO:0007091","metaphase/anaphase transition of mitotic cell cycle","11/435","96/18860",0.114583333333333,4.96791187739464,5.98873551277876,1.31290763956262e-05,0.0011718911477462,0.000967273399253728,"DUSP1/SPC25/ESPL1/CCNB1/DLGAP5/MAD2L1/BUB1B/AURKB/SKA3/NUF2/CENPF",11
"GO:1901987","regulation of cell cycle phase transition","27/435","468/18860",0.0576923076923077,2.50132625994695,5.05340073119172,1.31703992254315e-05,0.0011718911477462,0.000967273399253728,"DUSP1/E2F7/SPC25/ESPL1/CDC14B/KIF14/CCNB1/DLGAP5/AURKA/TIMELESS/MAD2L1/FAM107A/BUB1B/AURKB/CHEK1/BLM/SKA3/NUF2/CENPF/CDC14C/RRM2/EGFR/EZH2/EME1/IER3/PKMYT1/RAD51",27
"GO:0060047","heart contraction","19/435","265/18860",0.0716981132075472,3.10856647148124,5.31144088884763,1.36592873949128e-05,0.00119058809109536,0.000982705767681268,"S100A1/TBX18/AVPR1A/FXYD1/KCNJ8/CXADR/EPAS1/SGCG/EDN2/ATP1A2/THRB/KCNIP2/ASPH/JPH2/CACNA2D1/SCN4A/SCN3B/THRA/ADRB1",19
"GO:0045930","negative regulation of mitotic cell cycle","18/435","244/18860",0.0737704918032787,3.1984171848502,5.31082570637168,1.56452517052248e-05,0.0013364174006603,0.00110307258864838,"DUSP1/E2F7/SPC25/CDC14B/CCNB1/MAD2L1/FAM107A/BUB1B/AURKB/CHEK1/BLM/SKA3/NUF2/CENPF/EZH2/EME1/IER3/PKMYT1",18
"GO:0044784","metaphase/anaphase transition of cell cycle","11/435","99/18860",0.111111111111111,4.81736909323116,5.85132160790833,1.76401011581309e-05,0.00147727200090936,0.00121933330812344,"DUSP1/SPC25/ESPL1/CCNB1/DLGAP5/MAD2L1/BUB1B/AURKB/SKA3/NUF2/CENPF",11
"GO:0008016","regulation of heart contraction","17/435","225/18860",0.0755555555555556,3.27581098339719,5.27670676046985,1.97465913307161e-05,0.00162187868410554,0.00133869097908033,"S100A1/TBX18/AVPR1A/FXYD1/KCNJ8/CXADR/EPAS1/EDN2/ATP1A2/THRB/KCNIP2/ASPH/JPH2/CACNA2D1/SCN3B/THRA/ADRB1",17
"GO:0072657","protein localization to membrane","26/435","458/18860",0.0567685589519651,2.46127591226221,4.86443787982564,2.50925140244935e-05,0.00202207787544551,0.0016690134948963,"SLC7A11/GPC3/DOK7/MRAP/SPTBN1/RHOQ/DPP6/VAMP8/TESC/FERMT2/SKAP1/ATP2C2/WNK4/CD24/KIF2C/PRKCZ/RAMP1/SCN3B/CHRDL1/LRP1/EGFR/NETO2/REEP2/PACSIN1/ITGB1BP1/TREM2",26
"GO:1903522","regulation of blood circulation","19/435","279/18860",0.0681003584229391,2.95258105714168,5.04866834511503,2.79749547548551e-05,0.00219828535538287,0.0018144543137136,"S100A1/TBX18/AVPR1A/FXYD1/KCNJ8/CXADR/EPAS1/EDN2/ATP1A2/THRB/KCNIP2/ASPH/JPH2/CACNA2D1/ADRA2A/SCN3B/THRA/ADRB1/AVPR2",19
